Station,utm_x,utm_y,Setup_date,Retrieval_date,Problem1_from,Problem1_to
CAM_1,395678,1854369,10/09/2019,19/10/2019,,
CAM_2,395799,1855020,10/09/2019,19/10/2019,,
CAM_3,395376,1855783,10/09/2019,19/10/2019,,
CAM_4,394839,1855901,10/09/2019,19/10/2019,,
CAM_5,394804,1855377,10/09/2019,19/10/2019,27/09/2019,19/10/2019
CAM_6,394929,1854766,10/09/2019,19/10/2019,,
CAM_7,394946,1854260,11/09/2019,19/10/2019,03/10/2019,19/10/2019
CAM_8,393438,1855095,11/09/2019,20/10/2019,,
CAM_9,393494,1855573,11/09/2019,20/10/2019,,
CAM_10,392985,1855116,11/09/2019,20/10/2019,,
